----------------------------------------------------------------------------------------------
|                                      DescribeInstances                                     |
+----------------------+------------------+--------------------+-----------------+-----------+
|          ID          |       Key        |       Name         |    PublicIP     |   State   |
+----------------------+------------------+--------------------+-----------------+-----------+
|  i-09829fd2c5dc3d692 |  aws-linux       |  ds2002-demo       |  54.234.9.240   |  running  |
|  i-0a6918c494f7f0022 |  private-ec2-key |  ds2002-private    |  54.237.238.122 |  running  |
|  i-0a2d823c4f5da04f7 |  key-ec2         |  ds2002-kwj2hk     |  98.93.70.12    |  running  |
|  i-0573e26baa3d1b411 |  key-ec2-new     |  Lab 9             |  54.159.32.51   |  running  |
|  i-0d9d8a7d4be0a8872 |  key-ec2         |  ds2002-tsc9rv     |  72.44.41.45    |  running  |
|  i-00bdc7402c5a88c68 |  key-ec2-uak4ux  |  ds2002-uak4ux     |  54.145.0.59    |  running  |
|  i-0f31a099ee23f79f6 |  key-ec2-v2      |  ds2002-xak2wm     |  98.81.145.25   |  running  |
|  i-02ea88f65596c8c5d |  key-ec2         |  ds2002-awj8sf     |  3.85.129.138   |  running  |
|  i-0a0d81b30a0f21031 |  key-ec2-khs3z   |  ds2002-khs3z-test |  54.91.20.146   |  running  |
|  i-0d7fda4bdf2fc9ca8 |  key-ec2         |  ds2002-mkt3qv     |  54.144.231.165 |  running  |
|  i-0cee8a387d416e8f7 |  key-ec2-new     |  ds2002-cwb3ud     |  54.152.108.171 |  running  |
|  i-093769bd03bc70860 |  key-ec2         |  ds2002-tsc9rv     |  34.227.9.141   |  running  |
|  i-08626ef7e31c0de4a |  key-ec2         |  ds2002-fvd6wy     |  54.198.202.195 |  running  |
|  i-0eb291c483e614b20 |  key-ec2         |  ds2002-fvd6wy     |  98.88.32.75    |  running  |
|  i-0bead4231067f6f15 |  key-ec2-eby2ch  |  ds2002-eby2ch     |  54.234.79.151  |  running  |
|  i-006c3a967111e0a71 |  key-ec2-new     |  ds2002-dke5td     |  54.234.37.149  |  running  |
|  i-0736fadd1fdf75be1 |  key-ec2         |  ds2002-dke5td     |  98.88.32.46    |  running  |
|  i-03d976285a1e8092c |  key-ec2         |  ds2002-dke5td     |  3.91.157.25    |  running  |
|  i-0fa8b13aad45f65f8 |  key-ec2         |  ds2002-sny8gv     |  13.218.241.105 |  running  |
|  i-0dcf8ad5e4f2edee4 |  key-ec2         |  ds2002-bae7kx     |  52.90.221.242  |  running  |
+----------------------+------------------+--------------------+-----------------+-----------+
